timestamp,open,high,low,close,volume,source_1m_count
2026-06-03 11:00:00,641.7,645.0,637.04,637.38,9225.307,60
2026-06-03 12:00:00,637.38,637.53,633.12,635.43,13516.348,60
2026-06-03 13:00:00,635.43,637.24,630.05,633.11,12653.366,60
2026-06-03 14:00:00,633.11,637.64,630.18,637.02,8149.294,60
2026-06-03 15:00:00,637.04,639.31,632.85,632.99,7974.219,60
2026-06-03 16:00:00,633.0,633.6,620.0,628.25,26014.288,60
2026-06-03 17:00:00,628.26,629.33,623.8,627.16,8781.307,60
2026-06-03 18:00:00,627.16,629.0,625.23,628.13,3931.3179999999998,60
2026-06-03 19:00:00,628.13,628.98,621.74,622.77,7868.897,60
2026-06-03 20:00:00,622.77,625.78,616.21,619.8,16410.68,60
2026-06-03 21:00:00,619.8,629.63,618.88,629.43,14405.889,60
2026-06-03 22:00:00,629.44,630.0,625.83,627.43,16222.802,60
2026-06-03 23:00:00,627.43,627.94,620.32,620.63,9491.838,60
2026-06-04 00:00:00,620.63,624.57,612.93,616.23,18380.52,60
2026-06-04 01:00:00,616.23,617.72,599.14,602.49,47294.911,60
2026-06-04 02:00:00,602.5,609.99,590.46,608.05,48303.274,60
2026-06-04 03:00:00,608.05,621.4,608.04,618.99,18063.028,60
2026-06-04 04:00:00,618.99,621.36,613.87,614.63,10211.687,60
2026-06-04 05:00:00,614.63,614.63,600.61,604.23,73980.682,60
2026-06-04 06:00:00,604.24,610.98,603.49,605.4,11243.987000000001,60
2026-06-04 07:00:00,605.4,605.84,599.22,600.2,19246.776,60
2026-06-04 08:00:00,600.2,603.7,596.45,602.28,10079.18,60
2026-06-04 09:00:00,602.29,602.48,591.16,597.99,17195.49,60
2026-06-04 10:00:00,597.99,598.09,588.1,590.47,18887.637,60
2026-06-04 11:00:00,590.48,595.52,588.95,595.3,12611.737000000001,60
2026-06-04 12:00:00,595.31,604.98,593.94,603.55,14518.418,60
2026-06-04 13:00:00,603.56,606.04,597.01,604.81,12780.278,60
2026-06-04 14:00:00,604.82,606.56,602.17,604.75,12557.307999999999,60
2026-06-04 15:00:00,604.74,609.5,603.85,606.4,10729.259,60
2026-06-04 16:00:00,606.4,607.46,603.03,603.74,10994.111,60
2026-06-04 17:00:00,603.73,605.37,599.31,604.54,6651.581,60
2026-06-04 18:00:00,604.54,610.35,602.87,609.17,5099.781,60
2026-06-04 19:00:00,609.17,610.19,605.15,606.35,2597.667,60
2026-06-04 20:00:00,606.35,606.56,603.1,605.42,2684.951,60
2026-06-04 21:00:00,605.42,607.59,597.99,599.29,7755.4800000000005,60
2026-06-04 22:00:00,599.29,603.71,598.15,603.0,5477.928,60
2026-06-04 23:00:00,602.97,605.32,599.16,604.53,4086.094,60
2026-06-05 00:00:00,604.5,608.0,601.72,602.09,7177.332,60
2026-06-05 01:00:00,602.09,602.99,595.75,602.47,8235.02,60
