timestamp,open,high,low,close,volume,source_1m_count,atr14,ema20,ema50,ema20_slope,ema50_slope,recent_high_20,recent_low_20
2026-06-03 18:00:00,1.2369,1.2378,1.2089,1.2214,27625810.0,360,,1.2214,1.2214,,,,
2026-06-04 00:00:00,1.2214,1.2248,1.1868,1.2012,28999953.5,360,,1.2194761904761906,1.220607843137255,-0.0019238095238094388,-0.0007921568627451414,,
2026-06-04 06:00:00,1.2012,1.212,1.1407,1.1879,77368081.1,360,0.046066666666666624,1.216468934240363,1.2193251826220686,-0.003007256235827649,-0.001282660515186329,,
2026-06-04 12:00:00,1.188,1.2,1.1418,1.1558,48222609.2,360,0.04909999999999998,1.2106909405031856,1.2168339989898307,-0.005777993737177356,-0.002491183632237881,,
2026-06-04 18:00:00,1.1559,1.1836,1.1504,1.1698,38475359.9,360,0.04591999999999996,1.206796565217168,1.2149895284412098,-0.0038943752860176595,-0.0018444705486209134,1.2378,1.1407
2026-06-05 00:00:00,1.1698,1.185,1.1548,1.1688,22025330.1,360,0.04329999999999997,1.2031778447202948,1.2131781743846917,-0.0036187204968731734,-0.0018113540565181108,1.2378,1.1407
2026-06-05 06:00:00,1.1687,1.1751,1.1204,1.1208,45927532.6,360,0.044928571428571394,1.1953323356993142,1.2095555008794097,-0.007845509020980579,-0.0036226735052820036,1.2378,1.1204
2026-06-05 12:00:00,1.1208,1.1461,1.09,1.1189,71991602.9,360,0.04632499999999995,1.1880530656327128,1.2060003831978643,-0.00727927006660134,-0.0035551176815453722,1.2378,1.09
2026-06-05 18:00:00,1.1189,1.1379,1.0843,1.109,90792243.4,360,0.04713333333333328,1.1805242022391211,1.2021964466018695,-0.0075288633935917115,-0.0038039365959947613,1.2378,1.0843
2026-06-06 00:00:00,1.109,1.1204,1.0692,1.0978,73058200.8,360,0.04753999999999996,1.1726457067877762,1.1981024683037569,-0.007878495451344891,-0.004093978298112644,1.2378,1.0692
2026-06-06 06:00:00,1.0978,1.1144,1.0501,1.0894,53734316.9,360,0.04906363636363633,1.1647175442365596,1.193839626409492,-0.007928162551216644,-0.004262841894264957,1.2378,1.0501
2026-06-06 12:00:00,1.0895,1.1044,1.0727,1.0876,36606837.8,360,0.04761666666666664,1.15737301621403,1.189673366550296,-0.007344528022529495,-0.004166259859195831,1.2378,1.0501
2026-06-06 18:00:00,1.0877,1.1099,1.0807,1.0827,37108971.2,360,0.046199999999999984,1.1502613003841224,1.1854783325679314,-0.007111715829907661,-0.004195033982364649,1.2378,1.0501
2026-06-07 00:00:00,1.0826,1.095,1.0776,1.0934,13909593.2,360,0.044142857142857136,1.1448459384427776,1.1818674175652675,-0.005415361941344843,-0.0036109150026639725,1.2378,1.0501
2026-06-07 06:00:00,1.0935,1.127,1.0886,1.1201,24138518.5,360,0.04482142857142857,1.1424891824006083,1.1794451658960412,-0.002356756042169339,-0.002422251669226272,1.2378,1.0501
2026-06-07 12:00:00,1.1201,1.1702,1.116,1.1403,38743101.2,360,0.04597857142857141,1.1422806888386456,1.1779100613510984,-0.00020849356196261937,-0.001535104544942767,1.2378,1.0501
2026-06-07 18:00:00,1.1403,1.1462,1.1185,1.1444,20875736.7,360,0.0428642857142857,1.14248252799687,1.1765959412981142,0.0002018391582243595,-0.0013141200529842578,1.2378,1.0501
2026-06-08 00:00:00,1.1443,1.1719,1.1197,1.1556,28630260.7,360,0.04243571428571428,1.1437318110447872,1.1757725710511293,0.0012492830479171602,-0.0008233702469848669,1.2378,1.0501
2026-06-08 06:00:00,1.1556,1.1677,1.1319,1.1365,28730463.8,360,0.042621428571428574,1.1430430671357599,1.1742324702255948,-0.0006887439090272895,-0.0015401008255344628,1.2378,1.0501
2026-06-08 12:00:00,1.1365,1.1653,1.1361,1.1578,23747131.1,360,0.04254999999999999,1.1444484893133067,1.1735880596285129,0.0014054221775468,-0.0006444105970819791,1.2378,1.0501
2026-06-08 18:00:00,1.1578,1.1851,1.1465,1.1728,38438567.4,360,0.04139999999999999,1.14714863318823,1.1735571553293556,0.002700143874923233,-3.09042991573083e-05,1.2248,1.0501
2026-06-09 00:00:00,1.1729,1.1866,1.1664,1.1683,23728629.9,360,0.03883571428571429,1.149163049075065,1.1733509923752632,0.0020144158868351525,-0.0002061629540923704,1.212,1.0501
2026-06-09 06:00:00,1.1683,1.1763,1.1433,1.173,29248336.4,360,0.037364285714285725,1.1514332348774399,1.1733372279683902,0.0022701858023748134,-1.376440687295144e-05,1.2,1.0501
2026-06-09 12:00:00,1.173,1.1769,1.1528,1.1554,19303769.4,360,0.03542857142857143,1.1518110220319695,1.1726338072637477,0.00037778715452962963,-0.0007034207046425767,1.1866,1.0501
2026-06-09 18:00:00,1.1554,1.1666,1.1187,1.1384,42137217.3,360,0.03425714285714286,1.1505337818384487,1.1712913050181104,-0.0012772401935208233,-0.001342502245637256,1.1866,1.0501
2026-06-10 00:00:00,1.1384,1.1464,1.1338,1.1375,16257410.2,360,0.032892857142857154,1.149292469282406,1.169966155801714,-0.0012413125560426508,-0.0013251492163963707,1.1866,1.0501
