timestamp,open,high,low,close,volume,source_1m_count
2026-06-03 11:00:00,8.58,8.616,8.511,8.538,155293.56,60
2026-06-03 12:00:00,8.538,8.541,8.471,8.529,109679.73,60
2026-06-03 13:00:00,8.53,8.562,8.458,8.51,143810.66,60
2026-06-03 14:00:00,8.509,8.515,8.421,8.491,147710.17,60
2026-06-03 15:00:00,8.492,8.497,8.375,8.38,138983.39,60
2026-06-03 16:00:00,8.381,8.392,8.223,8.326,255532.44,60
2026-06-03 17:00:00,8.326,8.379,8.235,8.309,185152.52,60
2026-06-03 18:00:00,8.31,8.359,8.239,8.349,92866.0,60
2026-06-03 19:00:00,8.349,8.358,8.188,8.212,184562.58,60
2026-06-03 20:00:00,8.212,8.276,8.105,8.151,158668.96,60
2026-06-03 21:00:00,8.151,8.45,8.123,8.446,324180.96,60
2026-06-03 22:00:00,8.445,8.469,8.344,8.393,127467.81,60
2026-06-03 23:00:00,8.392,8.396,8.312,8.334,94976.25,60
2026-06-04 00:00:00,8.334,8.399,8.173,8.234,280325.58,60
2026-06-04 01:00:00,8.234,8.273,8.019,8.053,644515.9299999999,60
2026-06-04 02:00:00,8.054,8.143,7.799,8.096,943850.52,60
2026-06-04 03:00:00,8.097,8.34,8.095,8.295,253361.18,60
2026-06-04 04:00:00,8.296,8.335,8.206,8.223,163674.54,60
2026-06-04 05:00:00,8.223,8.223,8.089,8.142,172893.79,60
2026-06-04 06:00:00,8.141,8.25,8.124,8.176,92439.81,60
2026-06-04 07:00:00,8.176,8.189,8.064,8.069,240343.46,60
2026-06-04 08:00:00,8.069,8.094,7.99,8.043,356912.32,60
2026-06-04 09:00:00,8.044,8.047,7.843,7.975,404776.99,60
2026-06-04 10:00:00,7.976,7.979,7.807,7.843,299554.58999999997,60
2026-06-04 11:00:00,7.844,7.944,7.812,7.941,273941.46,60
2026-06-04 12:00:00,7.942,8.115,7.904,8.085,296296.41,60
2026-06-04 13:00:00,8.085,8.123,7.953,8.092,397607.14,60
2026-06-04 14:00:00,8.093,8.129,8.028,8.053,209858.36,60
2026-06-04 15:00:00,8.053,8.132,8.029,8.047,215575.83,60
2026-06-04 16:00:00,8.048,8.079,7.999,8.044,221640.5,60
2026-06-04 17:00:00,8.044,8.089,7.956,8.034,282550.1,60
2026-06-04 18:00:00,8.035,8.119,7.97,8.087,167566.44,60
2026-06-04 19:00:00,8.086,8.136,8.043,8.061,96539.97,60
2026-06-04 20:00:00,8.061,8.065,7.997,8.04,84483.98,60
2026-06-04 21:00:00,8.039,8.077,7.907,7.921,202195.43,60
2026-06-04 22:00:00,7.92,8.001,7.887,7.991,178234.73,60
2026-06-04 23:00:00,7.99,8.023,7.911,8.018,147756.65,60
2026-06-05 00:00:00,8.017,8.041,7.952,7.954,127054.13,60
2026-06-05 01:00:00,7.954,7.989,7.879,7.96,144070.67,60
2026-06-05 02:00:00,7.96,7.966,7.794,7.803,316075.89,60
2026-06-05 03:00:00,7.804,7.869,7.767,7.789,213887.86,60
2026-06-05 04:00:00,7.79,7.897,7.756,7.881,232278.09,60
2026-06-05 05:00:00,7.882,7.897,7.64,7.653,310218.09,60
2026-06-05 06:00:00,7.654,7.668,7.338,7.492,750456.22,60
2026-06-05 07:00:00,7.492,7.647,7.373,7.629,455440.35,60
2026-06-05 08:00:00,7.629,7.631,7.502,7.517,227892.89,60
2026-06-05 09:00:00,7.518,7.672,7.514,7.666,275362.41,60
2026-06-05 10:00:00,7.666,7.68,7.577,7.624,143722.09,60
2026-06-05 11:00:00,7.624,7.648,7.541,7.558,189591.76,60
2026-06-05 12:00:00,7.559,7.6,7.473,7.547,245632.57,60
2026-06-05 13:00:00,7.547,7.659,7.376,7.378,437944.28,60
2026-06-05 14:00:00,7.377,7.508,7.316,7.421,499032.2,60
2026-06-05 15:00:00,7.421,7.432,7.242,7.293,570930.62,60
2026-06-05 16:00:00,7.293,7.513,7.167,7.489,905146.72,60
2026-06-05 17:00:00,7.488,7.512,7.387,7.434,355193.72,60
2026-06-05 18:00:00,7.435,7.462,7.179,7.201,389005.65,60
2026-06-05 19:00:00,7.201,7.346,7.119,7.305,397082.38,60
2026-06-05 20:00:00,7.304,7.482,7.218,7.467,345722.63,60
2026-06-05 21:00:00,7.466,7.546,7.453,7.498,253142.26,60
2026-06-05 22:00:00,7.497,7.501,7.389,7.457,173768.66,60
2026-06-05 23:00:00,7.457,7.487,7.281,7.366,211098.71,60
2026-06-06 00:00:00,7.367,7.452,7.364,7.43,130321.34,60
2026-06-06 01:00:00,7.43,7.455,7.366,7.377,129805.43,60
